Distance_km,Traffic_Level,Preparation_Time_min,Courier_Experience_yrs,Weather_Foggy,Weather_Rainy,Weather_Snowy,Weather_Windy,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Vehicle_Type_Car,Vehicle_Type_Scooter
18.05,1,10,7.0,False,False,False,False,True,False,False,False,True
2.14,2,18,3.0,False,False,False,False,True,False,False,False,False
3.23,2,17,9.0,False,False,False,False,False,False,False,False,False
7.51,0,27,6.0,False,True,False,False,True,False,False,True,False
4.62,1,8,3.0,False,True,False,False,False,False,False,True,False
11.08,0,28,2.0,False,False,False,False,True,False,False,False,True
4.14,1,14,2.0,False,False,False,False,False,True,False,False,True
4.65,1,21,1.0,False,False,False,False,True,False,False,False,False
18.77,1,24,0.0,False,False,True,False,True,False,False,False,False
2.79,2,23,7.0,False,False,False,False,False,True,False,False,False
10.4,0,16,4.0,False,False,False,False,True,False,False,False,False
19.35,2,12,7.0,False,False,False,False,False,True,False,False,False
2.67,1,17,6.0,False,False,False,False,False,False,True,True,False
2.48,0,20,8.0,False,True,False,False,True,False,False,False,True
4.88,1,26,7.0,False,False,False,True,False,False,False,False,True
2.03,2,14,4.0,True,False,False,False,True,False,False,True,False
3.64,0,16,3.0,False,False,False,False,False,True,False,False,True
9.58,2,26,8.0,False,False,False,False,False,False,False,True,False
18.1,0,8,5.0,False,False,False,False,False,True,False,False,True
18.8,2,23,7.0,False,False,False,False,False,False,False,False,False
12.15,2,12,6.0,False,False,False,False,False,True,False,True,False
16.44,2,8,0.0,False,False,False,True,False,False,False,True,False
12.59,0,10,2.0,False,False,False,False,True,False,False,False,True
7.57,0,21,0.0,False,False,False,False,False,True,False,False,False
3.23,0,25,7.0,False,True,False,False,False,True,False,True,False
9.52,0,28,1.0,True,False,False,False,False,False,True,False,True
4.14,1,21,0.0,True,False,False,False,False,True,False,False,False
2.71,0,6,1.0,False,False,False,False,False,True,False,False,True
12.83,1,19,2.0,False,False,False,False,False,True,False,False,False
